word,count
sitze,2364
erzählungen,2361
gegenseitig,2361
lebten,2359
benutzen,2358
gattung,2358
versteckt,2355
bereiten,2353
entdeckte,2351
drohte,2350
gewißheit,2350
errichtet,2349
papst,2348
indischen,2346
unterhalten,2345
rückte,2341
geschenkt,2339
unglückliche,2336
güter,2331
entfernen,2328
erleben,2327
erstes,2327
anerkennung,2326
falsche,2324
müßt,2323
zugrunde,2319
falschen,2318
mitteln,2318
würdig,2318
schätze,2314
vernichtet,2314
regelmäßig,2312
ausgesetzt,2311
gemeinschaft,2311
erschreckt,2310
vorgenommen,2310
gefolgt,2308
beiseite,2306
entfernte,2306
einführung,2305
äußern,2304
größerer,2304
eingetreten,2301
letzter,2301
töten,2301
stellten,2289
fassung,2288
zärtlich,2288
wißt,2287
bemüht,2285
erhielten,2285
behauptete,2283
gewinn,2283
drauf,2281
gegessen,2279
weißer,2276
moralischen,2275
stürzen,2271
aufgaben,2270
äußersten,2269
schuß,2269
abenteür,2268
gewaltig,2268
zeichnung,2265
zurückkehren,2264
viertelstunde,2263
anteil,2262
liefert,2262
österreich,2257
frühere,2256
fleißig,2254
mündung,2254
herausgegeben,2253
besitze,2251
nördlichen,2249
erstere,2246
italienischen,2246
getrunken,2242
verpflichtet,2242
bedeutenden,2240
rettung,2239
nachbar,2238
botschaft,2236
geschmückt,2236
schießen,2234
erbaut,2233
gerührt,2232
heiterkeit,2229
führung,2228
gebildeten,2228
erlaubnis,2223
geschlossenen,2223
behauptung,2222
schätzen,2220
gesetzen,2219
schuhe,2213
zähnen,2212
stammt,2211
schwierigkeit,2208
genügend,2204
besuche,2199
aufwärts,2196
aß,2195
vorgang,2191
bestimmtheit,2190
gegründet,2190
hübschen,2190
senkte,2190
wendung,2188
rührte,2187
veränderungen,2187
fähigkeit,2182
bahnhof,2178
verliert,2173
vergleichen,2172
angefangen,2171
seligkeit,2168
verwunderung,2168
kuß,2163
leuchtete,2162
prüfung,2162
begleitete,2159
gemach,2159
kennst,2158
öffentlich,2155
türken (the verb),2154
unterscheidet,2154
säulen,2153
einleitung,2151
abschnitt,2148
teilnahme,2147
rührt,2145
schädel,2143
vierte,2141
nachfolger,2138
teilte,2137
ergibt,2136
ersetzt,2136
aufnehmen,2135
vorhang,2134
einzelner,2132
gehalt,2132
gedruckt,2131
äußerlich,2130
teilweise,2125
bewahren,2124
venedig,2122
tüchtig,2121
rufe,2120
einiges,2117
ausgeschlossen,2116
ließe,2116
genügen,2115
einerseits,2114
griechische,2110
kaufleute,2108
befehle,2107
schöpfung,2105
empfang,2097
gleichwohl,2096
nachdenklich,2096
richtungen,2096
zählte,2096
gelöst,2091
geistliche,2089
ernstlich,2086
erhaltung,2084
übergeben,2081
vernehmen,2081
befindlichen,2080
hintergrund,2078
vorhandenen,2078
mehrzahl,2070
beziehen,2069
aufl,2068
unschuld,2066
schlage,2065
gründlich,2062
greifen,2061
bekanntlich,2059
möcht,2055
persönliche,2053
nachkommen,2052
ersteren,2050
gesammelt,2050
chinesischen,2049
gekauft,2048
merkwürdige,2048
spielten,2048
preise,2045
verehrung,2042
schweiß,2037
gemein,2035
lügen,2033
zuschaür,2033
leistungen,2032
aufrichtig,2028
ohnehin,2028
sohne,2025
beschäftigte,2024
frühjahr,2024
deutlicher,2017
lautet,2015
gewand,2014
stoß,2014
beweist,2012
abwesenheit,2011
braun,2008
pfad,2006
schauspieler,2006
berührte,2000
sätze,2000
gewinnt,1999
stiefel,1997
frühe,1996
gefängnis,1994
frühen,1991
gehörten,1991
herrscher,1991
gespannt,1987
vorzugsweise,1986
entsetzlich,1985
medizin,1984
mitglied,1983
westlichen,1980
gebieten,1979
ursprünglichen,1979
gesichte,1977
glücklicher,1977
trieben,1977
unterworfen,1974
gehörig,1972
fesseln,1971
absichten,1970
verbrecher,1970
richtet,1969
ähnliches,1968
anhänger,1968
gelehrte,1968
löste,1968
wissenschaftliche,1968
stückchen,1966
folglich,1964
